candidate,office,district,party,county,precinct,total votes,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Kernville,,
Write In,State House,72,,Cambria,Johns-Kernville,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Kernville,,
Write In,State House,73,,Cambria,Johns-Kernville,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns - Seventh Wd,283,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns - Seventh Wd,95,
Neal Gale,U.S. Senate,,GR,Cambria,Johns - Seventh Wd,6,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns - Seventh Wd,1,
Write In,U.S. Senate,,,Cambria,Johns - Seventh Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns - Seventh Wd,280,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns - Seventh Wd,101,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns - Seventh Wd,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns - Seventh Wd,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns - Seventh Wd,1,
Brent Ottaway,US House,13,DEM,Cambria,Johns - Seventh Wd,265,
John Joyce,US House,13,REP,Cambria,Johns - Seventh Wd,118,
Write In,US House,13,,Cambria,Johns - Seventh Wd,0,
Susan Boser,US House,15,DEM,Cambria,Johns - Seventh Wd,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns - Seventh Wd,,
Write In,US House,15,,Cambria,Johns - Seventh Wd,,
Bryan Barbin,State House,71,DEM,Cambria,Johns - Seventh Wd,260,
Jim Rigby,State House,71,REP,Cambria,Johns - Seventh Wd,126,
Write In,State House,71,,Cambria,Johns - Seventh Wd,0,
Frank Burns,State House,72,DEM,Cambria,Johns - Seventh Wd,,
Jerry Carnicella,State House,72,REP,Cambria,Johns - Seventh Wd,,
Write In,State House,72,,Cambria,Johns - Seventh Wd,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns - Seventh Wd,,
Write In,State House,73,,Cambria,Johns - Seventh Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns - Eighth Wd 1,150,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns - Eighth Wd 1,114,
Neal Gale,U.S. Senate,,GR,Cambria,Johns - Eighth Wd 1,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns - Eighth Wd 1,3,
Write In,U.S. Senate,,,Cambria,Johns - Eighth Wd 1,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns - Eighth Wd 1,151,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns - Eighth Wd 1,112,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns - Eighth Wd 1,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns - Eighth Wd 1,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns - Eighth Wd 1,1,
Brent Ottaway,US House,13,DEM,Cambria,Johns - Eighth Wd 1,132,
John Joyce,US House,13,REP,Cambria,Johns - Eighth Wd 1,135,
Write In,US House,13,,Cambria,Johns - Eighth Wd 1,1,
Susan Boser,US House,15,DEM,Cambria,Johns - Eighth Wd 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns - Eighth Wd 1,,
Write In,US House,15,,Cambria,Johns - Eighth Wd 1,,
Bryan Barbin,State House,71,DEM,Cambria,Johns - Eighth Wd 1,150,
Jim Rigby,State House,71,REP,Cambria,Johns - Eighth Wd 1,117,
Write In,State House,71,,Cambria,Johns - Eighth Wd 1,3,
Frank Burns,State House,72,DEM,Cambria,Johns - Eighth Wd 1,,
Jerry Carnicella,State House,72,REP,Cambria,Johns - Eighth Wd 1,,
Write In,State House,72,,Cambria,Johns - Eighth Wd 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns - Eighth Wd 1,,
Write In,State House,73,,Cambria,Johns - Eighth Wd 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns - Eighth Wd 3,326,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns - Eighth Wd 3,279,
Neal Gale,U.S. Senate,,GR,Cambria,Johns - Eighth Wd 3,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns - Eighth Wd 3,3,
Write In,U.S. Senate,,,Cambria,Johns - Eighth Wd 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns - Eighth Wd 3,323,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns - Eighth Wd 3,287,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns - Eighth Wd 3,8,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns - Eighth Wd 3,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns - Eighth Wd 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns - Eighth Wd 3,283,
John Joyce,US House,13,REP,Cambria,Johns - Eighth Wd 3,333,
Write In,US House,13,,Cambria,Johns - Eighth Wd 3,1,
Susan Boser,US House,15,DEM,Cambria,Johns - Eighth Wd 3,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns - Eighth Wd 3,,
Write In,US House,15,,Cambria,Johns - Eighth Wd 3,,
Bryan Barbin,State House,71,DEM,Cambria,Johns - Eighth Wd 3,307,
Jim Rigby,State House,71,REP,Cambria,Johns - Eighth Wd 3,312,
Write In,State House,71,,Cambria,Johns - Eighth Wd 3,0,
Frank Burns,State House,72,DEM,Cambria,Johns - Eighth Wd 3,,
Jerry Carnicella,State House,72,REP,Cambria,Johns - Eighth Wd 3,,
Write In,State House,72,,Cambria,Johns - Eighth Wd 3,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns - Eighth Wd 3,,
Write In,State House,73,,Cambria,Johns - Eighth Wd 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Old Conemaugh/Woodv,210,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Old Conemaugh/Woodv,108,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Old Conemaugh/Woodv,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Old Conemaugh/Woodv,1,
Write In,U.S. Senate,,,Cambria,Johns-Old Conemaugh/Woodv,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Old Conemaugh/Woodv,204,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Old Conemaugh/Woodv,112,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Old Conemaugh/Woodv,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Old Conemaugh/Woodv,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Old Conemaugh/Woodv,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Old Conemaugh/Woodv,193,
John Joyce,US House,13,REP,Cambria,Johns-Old Conemaugh/Woodv,124,
Write In,US House,13,,Cambria,Johns-Old Conemaugh/Woodv,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Old Conemaugh/Woodv,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Old Conemaugh/Woodv,,
Write In,US House,15,,Cambria,Johns-Old Conemaugh/Woodv,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Old Conemaugh/Woodv,,215
Jim Rigby,State House,71,REP,Cambria,Johns-Old Conemaugh/Woodv,,103
Write In,State House,71,,Cambria,Johns-Old Conemaugh/Woodv,,0
Frank Burns,State House,72,DEM,Cambria,Johns-Old Conemaugh/Woodv,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Old Conemaugh/Woodv,,
Write In,State House,72,,Cambria,Johns-Old Conemaugh/Woodv,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Old Conemaugh/Woodv,,
Write In,State House,73,,Cambria,Johns-Old Conemaugh/Woodv,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Prospect,144,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Prospect,18,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Prospect,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Prospect,1,
Write In,U.S. Senate,,,Cambria,Johns-Prospect,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Prospect,145,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Prospect,18,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Prospect,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Prospect,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Prospect,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Prospect,142,
John Joyce,US House,13,REP,Cambria,Johns-Prospect,22,
Write In,US House,13,,Cambria,Johns-Prospect,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Prospect,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Prospect,,
Write In,US House,15,,Cambria,Johns-Prospect,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Prospect,145,
Jim Rigby,State House,71,REP,Cambria,Johns-Prospect,19,
Write In,State House,71,,Cambria,Johns-Prospect,0,
Frank Burns,State House,72,DEM,Cambria,Johns-Prospect,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Prospect,,
Write In,State House,72,,Cambria,Johns-Prospect,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Prospect,,
Write In,State House,73,,Cambria,Johns-Prospect,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Cambria City,76,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Cambria City,50,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Cambria City,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Cambria City,1,
Write In,U.S. Senate,,,Cambria,Johns-Cambria City,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Cambria City,75,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Cambria City,53,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Cambria City,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Cambria City,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Cambria City,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Cambria City,67,
John Joyce,US House,13,REP,Cambria,Johns-Cambria City,60,
Write In,US House,13,,Cambria,Johns-Cambria City,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Cambria City,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Cambria City,,
Write In,US House,15,,Cambria,Johns-Cambria City,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Cambria City,69,
Jim Rigby,State House,71,REP,Cambria,Johns-Cambria City,59,
Write In,State House,71,,Cambria,Johns-Cambria City,0,
Frank Burns,State House,72,DEM,Cambria,Johns-Cambria City,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Cambria City,,
Write In,State House,72,,Cambria,Johns-Cambria City,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Cambria City,,
Write In,State House,73,,Cambria,Johns-Cambria City,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Seventeenth Wd 1,161,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Seventeenth Wd 1,98,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Seventeenth Wd 1,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Seventeenth Wd 1,4,
Write In,U.S. Senate,,,Cambria,Johns-Seventeenth Wd 1,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Seventeenth Wd 1,162,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Seventeenth Wd 1,100,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Seventeenth Wd 1,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Seventeenth Wd 1,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Seventeenth Wd 1,1,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Seventeenth Wd 1,150,
John Joyce,US House,13,REP,Cambria,Johns-Seventeenth Wd 1,115,
Write In,US House,13,,Cambria,Johns-Seventeenth Wd 1,1,
Susan Boser,US House,15,DEM,Cambria,Johns-Seventeenth Wd 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Seventeenth Wd 1,,
Write In,US House,15,,Cambria,Johns-Seventeenth Wd 1,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Seventeenth Wd 1,145,
Jim Rigby,State House,71,REP,Cambria,Johns-Seventeenth Wd 1,120,
Write In,State House,71,,Cambria,Johns-Seventeenth Wd 1,2,
Frank Burns,State House,72,DEM,Cambria,Johns-Seventeenth Wd 1,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Seventeenth Wd 1,,
Write In,State House,72,,Cambria,Johns-Seventeenth Wd 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Seventeenth Wd 1,,
Write In,State House,73,,Cambria,Johns-Seventeenth Wd 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Seventeenth Wd 2,168,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Seventeenth Wd 2,131,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Seventeenth Wd 2,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Seventeenth Wd 2,4,
Write In,U.S. Senate,,,Cambria,Johns-Seventeenth Wd 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Seventeenth Wd 2,161,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Seventeenth Wd 2,138,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Seventeenth Wd 2,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Seventeenth Wd 2,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Seventeenth Wd 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Seventeenth Wd 2,153,
John Joyce,US House,13,REP,Cambria,Johns-Seventeenth Wd 2,150,
Write In,US House,13,,Cambria,Johns-Seventeenth Wd 2,1,
Susan Boser,US House,15,DEM,Cambria,Johns-Seventeenth Wd 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Seventeenth Wd 2,,
Write In,US House,15,,Cambria,Johns-Seventeenth Wd 2,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Seventeenth Wd 2,158,
Jim Rigby,State House,71,REP,Cambria,Johns-Seventeenth Wd 2,146,
Write In,State House,71,,Cambria,Johns-Seventeenth Wd 2,1,
Frank Burns,State House,72,DEM,Cambria,Johns-Seventeenth Wd 2,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Seventeenth Wd 2,,
Write In,State House,72,,Cambria,Johns-Seventeenth Wd 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Seventeenth Wd 2,,
Write In,State House,73,,Cambria,Johns-Seventeenth Wd 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Seventeenth Wd 3,116,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Seventeenth Wd 3,88,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Seventeenth Wd 3,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Seventeenth Wd 3,1,
Write In,U.S. Senate,,,Cambria,Johns-Seventeenth Wd 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Seventeenth Wd 3,114,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Seventeenth Wd 3,91,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Seventeenth Wd 3,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Seventeenth Wd 3,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Seventeenth Wd 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Seventeenth Wd 3,91,
John Joyce,US House,13,REP,Cambria,Johns-Seventeenth Wd 3,115,
Write In,US House,13,,Cambria,Johns-Seventeenth Wd 3,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Seventeenth Wd 3,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Seventeenth Wd 3,,
Write In,US House,15,,Cambria,Johns-Seventeenth Wd 3,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Seventeenth Wd 3,107,
Jim Rigby,State House,71,REP,Cambria,Johns-Seventeenth Wd 3,99,
Write In,State House,71,,Cambria,Johns-Seventeenth Wd 3,0,
Frank Burns,State House,72,DEM,Cambria,Johns-Seventeenth Wd 3,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Seventeenth Wd 3,,
Write In,State House,72,,Cambria,Johns-Seventeenth Wd 3,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Seventeenth Wd 3,,
Write In,State House,73,,Cambria,Johns-Seventeenth Wd 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Seventeenth Wd 4,99,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Seventeenth Wd 4,67,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Seventeenth Wd 4,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Seventeenth Wd 4,5,
Write In,U.S. Senate,,,Cambria,Johns-Seventeenth Wd 4,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Seventeenth Wd 4,92,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Seventeenth Wd 4,76,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Seventeenth Wd 4,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Seventeenth Wd 4,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Seventeenth Wd 4,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Seventeenth Wd 4,84,
John Joyce,US House,13,REP,Cambria,Johns-Seventeenth Wd 4,86,
Write In,US House,13,,Cambria,Johns-Seventeenth Wd 4,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Seventeenth Wd 4,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Seventeenth Wd 4,,
Write In,US House,15,,Cambria,Johns-Seventeenth Wd 4,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Seventeenth Wd 4,91,
Jim Rigby,State House,71,REP,Cambria,Johns-Seventeenth Wd 4,80,
Write In,State House,71,,Cambria,Johns-Seventeenth Wd 4,1,
Frank Burns,State House,72,DEM,Cambria,Johns-Seventeenth Wd 4,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Seventeenth Wd 4,,
Write In,State House,72,,Cambria,Johns-Seventeenth Wd 4,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Seventeenth Wd 4,,
Write In,State House,73,,Cambria,Johns-Seventeenth Wd 4,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Eighteenth Wd,152,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Eighteenth Wd,109,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Eighteenth Wd,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Eighteenth Wd,2,
Write In,U.S. Senate,,,Cambria,Johns-Eighteenth Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Eighteenth Wd,145,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Eighteenth Wd,115,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Eighteenth Wd,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Eighteenth Wd,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Eighteenth Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Eighteenth Wd,134,
John Joyce,US House,13,REP,Cambria,Johns-Eighteenth Wd,128,
Write In,US House,13,,Cambria,Johns-Eighteenth Wd,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Eighteenth Wd,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Eighteenth Wd,,
Write In,US House,15,,Cambria,Johns-Eighteenth Wd,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Eighteenth Wd,160,
Jim Rigby,State House,71,REP,Cambria,Johns-Eighteenth Wd,106,
Write In,State House,71,,Cambria,Johns-Eighteenth Wd,0,
Frank Burns,State House,72,DEM,Cambria,Johns-Eighteenth Wd,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Eighteenth Wd,,
Write In,State House,72,,Cambria,Johns-Eighteenth Wd,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Eighteenth Wd,,
Write In,State House,73,,Cambria,Johns-Eighteenth Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Nineteenth Wd,196,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Nineteenth Wd,136,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Nineteenth Wd,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Nineteenth Wd,3,
Write In,U.S. Senate,,,Cambria,Johns-Nineteenth Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Nineteenth Wd,192,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Nineteenth Wd,136,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Nineteenth Wd,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Nineteenth Wd,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Nineteenth Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Nineteenth Wd,176,
John Joyce,US House,13,REP,Cambria,Johns-Nineteenth Wd,155,
Write In,US House,13,,Cambria,Johns-Nineteenth Wd,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Nineteenth Wd,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Nineteenth Wd,,
Write In,US House,15,,Cambria,Johns-Nineteenth Wd,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Nineteenth Wd,206,
Jim Rigby,State House,71,REP,Cambria,Johns-Nineteenth Wd,130,
Write In,State House,71,,Cambria,Johns-Nineteenth Wd,1,
Frank Burns,State House,72,DEM,Cambria,Johns-Nineteenth Wd,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Nineteenth Wd,,
Write In,State House,72,,Cambria,Johns-Nineteenth Wd,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Nineteenth Wd,,
Write In,State House,73,,Cambria,Johns-Nineteenth Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Twenteith Wd 1,247,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Twenteith Wd 1,155,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Twenteith Wd 1,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Twenteith Wd 1,4,
Write In,U.S. Senate,,,Cambria,Johns-Twenteith Wd 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Twenteith Wd 1,245,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Twenteith Wd 1,161,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Twenteith Wd 1,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Twenteith Wd 1,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Twenteith Wd 1,1,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Twenteith Wd 1,217,
John Joyce,US House,13,REP,Cambria,Johns-Twenteith Wd 1,192,
Write In,US House,13,,Cambria,Johns-Twenteith Wd 1,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Twenteith Wd 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Twenteith Wd 1,,
Write In,US House,15,,Cambria,Johns-Twenteith Wd 1,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Twenteith Wd 1,245,
Jim Rigby,State House,71,REP,Cambria,Johns-Twenteith Wd 1,167,
Write In,State House,71,,Cambria,Johns-Twenteith Wd 1,0,
Frank Burns,State House,72,DEM,Cambria,Johns-Twenteith Wd 1,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Twenteith Wd 1,,
Write In,State House,72,,Cambria,Johns-Twenteith Wd 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Twenteith Wd 1,,
Write In,State House,73,,Cambria,Johns-Twenteith Wd 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Twenteith Wd 2,164,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Twenteith Wd 2,104,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Twenteith Wd 2,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Twenteith Wd 2,2,
